section,question_number,main_question,full_question,sub_question,option_1,option_2,option_3,option_4,correct_option,feedback_1,feedback_2,feedback_3,feedback_4,min_value,max_value,solution,image_url,units,Unnamed: 19
Basic Math,6,Algebra 6,"Solve for $V_i$ in the equation $d = V_it + \tfrac{1}{2}at^2$ Given: $d = 100\mathrm{m}$, $t = 4\mathrm{s}$, $a = 3\mathrm{m/s^2}$","If we isolate for $V_i$, what are we left with?",$V_i = \dfrac{\tfrac{1}{2}at^2}{d - t}$,$V_i = \dfrac{d - \tfrac{1}{2}at^2}{t}$,$V_i = \dfrac{t}{d - \tfrac{1}{2}at^2}$,$V_i = \dfrac{t - \tfrac{1}{2}at^2}{d}$,2,Incorrect Re-arrange: $V_i = \dfrac{d - \tfrac{1}{2}at^2}{t}$.,Correct! Re-arrange: $V_i = \dfrac{d - \tfrac{1}{2}at^2}{t}$.,Incorrect Re-arrange: $V_i = \dfrac{d - \tfrac{1}{2}at^2}{t}$.,Incorrect Re-arrange: $V_i = \dfrac{d - \tfrac{1}{2}at^2}{t}$.,5.5,5.5,1. Isolate for $V_i = \dfrac{d - \tfrac{1}{2}at^2}{t}$ 2. Solve for $V_i$,,m/s,
Basic Math,6,Algebra 6,"Solve for $V_i$ in the equation $d = V_it + \tfrac{1}{2}at^2$ Given: $d = 100\mathrm{m}$, $t = 4\mathrm{s}$, $a = 3\mathrm{m/s^2}$",What is the value of $V_i$?,,,,,,,,,,5.5,5.5,1. Isolate for $V_i = \dfrac{d - \tfrac{1}{2}at^2}{t}$ 2. Solve for $V_i$,,m/s,
Basic Math,7,Algebra 7,Solve for $y$ in the equation $12y^2 + 4\sqrt{8} = 26 + \sqrt{2}$,"If we isolate for $y$, what are we left with?",$y = \sqrt{26 + \sqrt{2} - \dfrac{4\sqrt{8}}{12}}$,$y = \sqrt{\dfrac{26 + \sqrt{2} - 4\sqrt{8}}{12}}$,$y = \sqrt{\dfrac{26 + 2\sqrt{8}}{12}}$,$y = \sqrt{\dfrac{26 + 12 - 4\sqrt{8}}{12}}$,2,Incorrect Isolate $y^2$ then square-root.,Correct ! Isolate $y^2$ then square-root.,Incorrect Isolate $y^2$ then square-root.,Incorrect Isolate $y^2$ then square-root.,1.16,1.16,1. Isolate for $y$: $y = \sqrt{\dfrac{26 + \sqrt{2} - 4\sqrt{8}}{12}}$ 2. Solve for $y$,,no units,
Basic Math,7,Algebra 7,Solve for $y$ in the equation $12y^2 + 4\sqrt{8} = 26 + \sqrt{2}$,What is the value of $y$?,,,,,,,,,,1.16,1.16,1. Isolate for $y$: $y = \sqrt{\dfrac{26 + \sqrt{2} - 4\sqrt{8}}{12}}$ 2. Solve for $y$,,no units,
Basic Math,8,Algebra 8,Solve for $x$ in the equation $\frac{8}{x} + \bigl(12 - \sqrt{8}\bigr) = 43 - \sqrt{8}$,"If we isolate for $x$, what are we left with?",$x = \dfrac{43}{8 - \sqrt{8} - \bigl(12 - \sqrt{8}\bigr)}$,$x = \dfrac{8 - 43}{8 - \sqrt{12} - \sqrt{8}}$,$x = \dfrac{8}{43 - \sqrt{8} - \bigl(12 - \sqrt{8}\bigr)}$,$x = \dfrac{43 - \sqrt{8} - \bigl(12 - \sqrt{8}\bigr)}{8}$,3,"Incorrect Bring constants to one side, invert: $x = \dfrac{8}{43 - 12}$.","Incorrect Bring constants to one side, invert: $x = \dfrac{8}{43 - 12}$.","Correct! Bring constants to one side, invert: $x = \dfrac{8}{43 - 12}$.","Incorrect Bring constants to one side, invert: $x = \dfrac{8}{43 - 12}$.",0.258,0.258,1. Isolate for $x$: $x = \dfrac{8}{43 - \sqrt{8} - \bigl(12 - \sqrt{8}\bigr)}$ 2. Solve for $x$,,no units,
Basic Math,8,Algebra 8,Solve for $x$ in the equation $\frac{8}{x} + \bigl(12 - \sqrt{8}\bigr) = 43 - \sqrt{8}$,What is the value of $x$?,,,,,,,,,,0.258,0.258,1. Isolate for $x$: $x = \dfrac{8}{43 - \sqrt{8} - \bigl(12 - \sqrt{8}\bigr)}$ 2. Solve for $x$,,no units,
Basic Math,9,Algebra 9,Solve for $z$ in the equation $\dfrac{33}{\sqrt{5}}z^2 = 5$,"If we isolate for $z$, what are we left with?",$z = \sqrt{\dfrac{\bigl(33/5\bigr)^2}{5}}$,$z = \dfrac{\bigl(33/5\bigr)^2}{5}$,$z = \sqrt{\dfrac{5^2}{33/5}}$,$z = \sqrt{\dfrac{33^2}{5}}$,1,Correct Re-arrange: $z^2 = \dfrac{5 \sqrt{5}}{33}$ take square root.,Incorrect Re-arrange: $z^2 = \dfrac{5 \sqrt{5}}{33}$ take square root.,Incorrect Re-arrange: $z^2 = \dfrac{5 \sqrt{5}}{33}$ take square root.,Incorrect Re-arrange: $z^2 = \dfrac{5 \sqrt{5}}{33}$ take square root.,0.58,0.58,1. Isolate for $z$: $z = \sqrt{\dfrac{\bigl(33/5\bigr)^2}{5}}$ 2. Solve for $z$,,no units,
Basic Math,9,Algebra 9,Solve for $z$ in the equation $\dfrac{33}{\sqrt{5}}z^2 = 5$,What is the value of $z$?,,,,,,,,,,0.58,0.58,1. Isolate for $z$: $z = \sqrt{\dfrac{\bigl(33/5\bigr)^2}{5}}$ 2. Solve for $z$,,no units,
Basic Math,10,Algebra 10,Solve for $a$ in the equation $\dfrac{a^2 - 14}{\sqrt{55}} = 44 - \sqrt{55}$,"If we isolate for $a$, what are we left with?",$a = {(44 - \sqrt{55})\sqrt{55} + 14}$,$a = \sqrt{44 - \sqrt{55} + \sqrt{55} + 14}$,$a = \sqrt{(55 - \sqrt{44})\sqrt{14} + 55}$,$a = \sqrt{(44 - \sqrt{55})\sqrt{55} + 14}$,4,Incorrect Cross multiply then square-root.,Incorrect Cross multiply then square-root.,Incorrect Cross multiply then square-root.,Correct Cross multiply then square-root.,16.89,16.89,1. Isolate for $a$: $x = -12 \big/ \bigl(2y^2 + 1\bigr)$ 2. Solve for $a$,,no units,
Basic Math,10,Algebra 10,Solve for $a$ in the equation $\dfrac{a^2 - 14}{\sqrt{55}} = 44 - \sqrt{55}$,What is the value of $a$?,,,,,,,,,,16.89,16.89,1. Isolate for $a$: $x = -12 \big/ \bigl(2y^2 + 1\bigr)$ 2. Solve for $a$,,no units,
Basic Math,11,Algebra 11,Solve for $x$ when $y = 8$ in the equation $2xy^2 + 12 + x = 0$,"If we isolate for $x$, what are we left with?",$x = -12 \big/ \bigl(2y^2 + 1\bigr)$,$x = \bigl(2y^2 - 12\bigr) / 1$,$x = 2y^2 \big/ \bigl(-12 + 1\bigr)$,$x = \bigl(2y^2 + 1\bigr) / -12$,1,Correct Group $x$-terms and solve: $x (2y^2 + 1) = -12$.,Incorrect Group $x$-terms and solve: $x(2y^2 + 1) = -12$.,Incorrect Group $x$-terms and solve: $x(2y^2 + 1) = -12$.,Incorrect Group $x$-terms and solve: $x(2y^2 + 1) = -12$.,-0.093,-0.093,1. Isolate for $x$: $x = -12 \big/ \bigl(2y^2 + 1\bigr)$ 2. Solve for $x$,,no units,
Basic Math,11,Algebra 11,Solve for $x$ when $y = 8$ in the equation $2xy^2 + 12 + x = 0$,What is the value of $x$?,,,,,,,,,,-0.093,-0.093,1. Isolate for $x$: $x = -12 \big/ \bigl(2y^2 + 1\bigr)$ 2. Solve for $x$,,no units,
Basic Math,12,Algebra 12,Solve for $y$ when $x = -7$ in the equation $2xy^2 + 12 + x = 0$,"If we isolate for $y$, what are we left with?",$y = -\dfrac{2x}{x - 12}$,$y = \sqrt{\dfrac{-2x}{x - 12}}$,$y = \sqrt{\dfrac{-12 - x}{2x}}$,$y = \sqrt{\dfrac{-12 - 2x}{x}}$,3,Incorrect Isolate $y^2 = \dfrac{-12 - x}{2x}$; take square-root.,Incorrect Isolate $y^2 = \dfrac{-12 - x}{2x}$; take square-root.,Correct! Isolate $y^2 = \dfrac{-12 - x}{2x}$; take square-root.,Incorrect Isolate $y^2 = \dfrac{-12 - x}{2x}$; take square-root.,0.598,0.598,1. Isolate for $y$: $y = \sqrt{\dfrac{-12 - x}{2x}}$ 2. Solve for $y$,,no units,
Basic Math,12,Algebra 12,Solve for $y$ when $x = -7$ in the equation $2xy^2 + 12 + x = 0$,What is the value of $y$?,,,,,,,,,,0.598,0.598,1. Isolate for $y$: $y = \sqrt{\dfrac{-12 - x}{2x}}$ 2. Solve for $y$,,no units,
Calculus,1,Differentiate the equation 1,Differentiate the equation:$y(t) = 3t^2 + 4$ and find $y(t)$ when $t = 2$,How do you take the derivative of an equation $y = xt^{n}$?,Differential Transfer Function:$x + n^{n-1}$,Differential Transfer Function: $xnt^{n-1}$,Differential Transfer Function: $(n - 1)^{nx}$,Differential Transfer Function: $xn^{x-1}$,2,Incorrect You forgot to multiply by the exponent and reduce the power.,Correct! Power rule: d/dx[x] =$xnt^{n-1}$,Incorrect You ve applied the coefficient wrong.,Incorrect You divided instead of multiplying by the exponent.,6,6,1. Differentiation satisfies $y'(t) = \frac{d}{dt}\bigl(3t^2 + 4\bigr) = 6t.$ 2. Evaluation at $t=2$ satisfies $y(2) = 3\quad (2)^2 + 4 = 3\cdot 4 + 4 = 16.$,,No units,
Calculus,1,Differentiate the equation 1,Differentiate the equation:$y(t) = 3t^2 + 4$ and find $y(t)$ when $t = 2$,What is the derivative of $y(t) = 3t^2 + 4$?,$y'(t) = 3t$,$y'(t) = 9t^2 + 4t$,$y'(t) = 3t^2$,$y'(t) = 6t$,4,"Incorrect Derivative of 3t is 6t, not 3t.",Incorrect There is no t term when differentiating.,Incorrect That s just the original t term.,Correct! $d/dt(3t^2+4) = 6t.$,6,6,1. Differentiation satisfies $y'(t) = \frac{d}{dt}\bigl(3t^2 + 4\bigr) = 6t.$ 2. Evaluation at $t=2$ satisfies $y(2) = 3\quad (2)^2 + 4 = 3\cdot 4 + 4 = 16.$,,No units,
Calculus,1,Differentiate the equation 1,Differentiate the equation:$y(t) = 3t^2 + 4$ and find $y(t)$ when $t = 2$,What is the second derivative of $y(t) = 3t^2 + 4$?,$y''(t) = 6$,$y''(t) = 9t$,$y''(t) = 3t^2$,$y''(t) = t^6$,1,Correct! $d/dt(3t^2+4) = 6$,"Incorrect Derivative of 6t is constant 6, not 9t.",Incorrect That s the original t term again.,Incorrect That s not a valid second derivative here.,6,6,1. Differentiation satisfies $y'(t) = \frac{d}{dt}\bigl(3t^2 + 4\bigr) = 6t.$ 2. Evaluation at $t=2$ satisfies $y(2) = 3\quad (2)^2 + 4 = 3\cdot 4 + 4 = 16.$,,No units,
Calculus,1,Differentiate the equation 1,Differentiate the equation:$y(t) = 3t^2 + 4$ and find $y(t)$ when $t = 2$,What is the value of $y''(t)$ when $t = 2$?,,,,,,,,,,6,6,1. Differentiation satisfies $y'(t) = \frac{d}{dt}\bigl(3t^2 + 4\bigr) = 6t.$ 2. Evaluation at $t=2$ satisfies $y(2) = 3\quad (2)^2 + 4 = 3\cdot 4 + 4 = 16.$,,No units,
Calculus,2,Differentiate the equation 2,Differentiate the equation: $x(t) = \left(-\frac{3}{2}\right)t^3 + 6t^2 - \frac{2}{5}t + \frac{5}{11}$ and find $x''(t)$ when $t=5$,How do you take the derivative of an equation in the form $y(t) = x^n$?,Differential Transfer Function: $x + n^{n-1}$,Differential Transfer Function: $xnt^{n-1}$,Differential Transfer Function: $(n - 1)^{n x}$,Differential Transfer Function: $xn^{x-1}$,2,"Incorrect, the exponent must multiply the term, not be added.","Correct! The derivative of $x^n$ is $n, x^{n-1}$.","Incorrect, the base and exponent relationship is wrong.","Incorrect, the exponent application is incorrect.",-33,-33,1. Differentiate to find $x'(t)$: $x'(t) = \frac{d}{dt}\Bigl(\bigl(-\tfrac{3}{2}\bigr)t^3 + 6t^2 - \tfrac{2}{5}t + \tfrac{5}{11}\Bigr)= \bigl(-\tfrac{3}{2}\bigr)\cdot 3t^2 + 6\cdot 2t - \tfrac{2}{5} + 0 = -\tfrac{9}{2}t^2 + 12t - \tfrac{2}{5}.$2. Differentiate to find$x''(t)$:$x''(t) = \frac{d}{dt}\Bigl(-\tfrac{9}{2}t^2 + 12t - \tfrac{2}{5}\Bigr) = -\tfrac{9}{2}\cdot 2t + 12 - 0 = -9t + 12.$3. Evaluate at$t = 5$:$x''(5) = -9\cdot 5 + 12 = -45 + 12 = -33.$,,No units,
Calculus,2,Differentiate the equation 2,Differentiate the equation: $x(t) = \left(-\frac{3}{2}\right)t^3 + 6t^2 - \frac{2}{5}t + \frac{5}{11}$ and find $x''(t)$ when $t=5$,What is the derivative of $x(t) = \left(-\frac{3}{2}\right)t^3 + 6t^2 - \frac{2}{5}t + \frac{5}{11}$?,$x'(t) = -6t^2 + 6t - \frac{2}{5}$,$x'(t) = \left(-\frac{1}{2}\right)t^4 + 9t^2 + \frac{5}{11}$,$x'(t) = \left(-\frac{9}{2}\right)t^2 + 12t - \frac{2}{5}$,$x'(t) = -9t^2 + 12t - \frac{2}{5}$,3,"Incorrect, $(-3/2)\times3= -9/2$, not -6.","Incorrect, this looks like an antiderivative and includes an extra power.",Correct! $x'(t)= -\frac{9}{2}t^2 + 12t - \frac{2}{5}$.,"Incorrect, the coefficient should be -9/2, not -9.",-33,-33,1. Differentiate to find $x'(t)$: $x'(t) = \frac{d}{dt}\Bigl(\bigl(-\tfrac{3}{2}\bigr)t^3 + 6t^2 - \tfrac{2}{5}t + \tfrac{5}{11}\Bigr)= \bigl(-\tfrac{3}{2}\bigr)\cdot 3t^2 + 6\cdot 2t - \tfrac{2}{5} + 0 = -\tfrac{9}{2}t^2 + 12t - \tfrac{2}{5}.$2. Differentiate to find$x''(t)$:$x''(t) = \frac{d}{dt}\Bigl(-\tfrac{9}{2}t^2 + 12t - \tfrac{2}{5}\Bigr) = -\tfrac{9}{2}\cdot 2t + 12 - 0 = -9t + 12.$3. Evaluate at$t = 5$:$x''(5) = -9\cdot 5 + 12 = -45 + 12 = -33.$,,No units,
Calculus,2,Differentiate the equation 2,Differentiate the equation: $x(t) = \left(-\frac{3}{2}\right)t^3 + 6t^2 - \frac{2}{5}t + \frac{5}{11}$ and find $x''(t)$ when $t=5$,What is the second derivative of $x(t) = \left(-\frac{3}{2}\right)t^3 + 6t^2 - \frac{2}{5}t + \frac{5}{11}$?,$x''(t) = -6t + 6$,$x''(t) = \left(-\frac{1}{9}\right)t^2 + 9t + \frac{5}{11}$,$x''(t) = \left(-\frac{9}{2}\right)t + 12t - \frac{2}{5}$,$x''(t) = -9t + 12$,4,"Incorrect, you used the wrong coefficient for the first term.","Incorrect, this diverges from a valid second derivative of a quadratic.","Incorrect, terms were not simplified correctly.",Correct! The second derivative simplifies to $-9t + 12$.,-33,-33,1. Differentiate to find $x'(t)$: $x'(t) = \frac{d}{dt}\Bigl(\bigl(-\tfrac{3}{2}\bigr)t^3 + 6t^2 - \tfrac{2}{5}t + \tfrac{5}{11}\Bigr)= \bigl(-\tfrac{3}{2}\bigr)\cdot 3t^2 + 6\cdot 2t - \tfrac{2}{5} + 0 = -\tfrac{9}{2}t^2 + 12t - \tfrac{2}{5}.$2. Differentiate to find$x''(t)$:$x''(t) = \frac{d}{dt}\Bigl(-\tfrac{9}{2}t^2 + 12t - \tfrac{2}{5}\Bigr) = -\tfrac{9}{2}\cdot 2t + 12 - 0 = -9t + 12.$3. Evaluate at$t = 5$:$x''(5) = -9\cdot 5 + 12 = -45 + 12 = -33.$,,No units,
Calculus,2,Differentiate the equation 2,Differentiate the equation: $x(t) = \left(-\frac{3}{2}\right)t^3 + 6t^2 - \frac{2}{5}t + \frac{5}{11}$ and find $x''(t)$ when $t=5$,What is the value of $x''(t)$ when $t = 5$?,,,,,,,,,,-33,-33,1. Differentiate to find $x'(t)$: $x'(t) = \frac{d}{dt}\Bigl(\bigl(-\tfrac{3}{2}\bigr)t^3 + 6t^2 - \tfrac{2}{5}t + \tfrac{5}{11}\Bigr)= \bigl(-\tfrac{3}{2}\bigr)\cdot 3t^2 + 6\cdot 2t - \tfrac{2}{5} + 0 = -\tfrac{9}{2}t^2 + 12t - \tfrac{2}{5}.$2. Differentiate to find$x''(t)$:$x''(t) = \frac{d}{dt}\Bigl(-\tfrac{9}{2}t^2 + 12t - \tfrac{2}{5}\Bigr) = -\tfrac{9}{2}\cdot 2t + 12 - 0 = -9t + 12.$3. Evaluate at$t = 5$:$x''(5) = -9\cdot 5 + 12 = -45 + 12 = -33.$,,No units,
Calculus,3,Differentiate the equation 3,Differentiate the equation: $a(t) = 14t^{3/2}$ and find $a''(t)$ when $t=3$,How do you take the derivative of an equation in the form $y(t)=x^n$?,Differential Transfer Function: $x+n^{n-1}$,Differential Transfer Function: $xnt^{n-1}$,Differential Transfer Function: $(n-1)^{nx}$,Differential Transfer Function: $xn^{x-1}$,2,"Incorrect, the exponent must multiply the term, not be added.","Correct, the derivative of $x^n$ is $nx^{n-1}$.","Incorrect, the base and exponent relationship is wrong.","Incorrect, the exponent application is incorrect.",6.06,6.07,1. Differentiate to find $a'(t)$: $ a'(t) = \frac{d}{dt}\bigl(14t^{3/2}\bigr)= 14 \cdot \frac{3}{2}t^{\frac{3}{2}-1}= 21t^{\tfrac{1}{2}}.$2. Differentiate$a'(t)$to find$a''(t)$:$a''(t) = \frac{d}{dt}\bigl(21t^{\tfrac{1}{2}}\bigr)= 21 \cdot \frac{1}{2}t^{\tfrac{1}{2}-1}= 10.5t^{-\tfrac{1}{2}}.$3. Evaluate at$t = 3$:$a''(3) = 10.5 \cdot 3^{-\tfrac{1}{2}} = 10.5 \cdot \frac{1}{\sqrt{3}} = \frac{10.5}{\sqrt{3}}= \frac{10.5\sqrt{3}}{3} = 3.5\sqrt{3}$,,No units,
Calculus,3,Differentiate the equation 3,Differentiate the equation: $a(t) = 14t^{3/2}$ and find $a''(t)$ when $t=3$,What is the derivative of $a(t) = 14t^{3/2}$?,$a'(t)=21t^{1/2}$,$a'(t)=28t^{1/2}$,$a'(t)=7t^2$,$a'(t)=14t^3$,1,"Correct, $a'(t)=21t^{1/2}$.","$Incorrect, 14*(3/2)=21 not 28.$","Incorrect, exponent was applied as 2 rather than 1/2.","Incorrect, exponent misinterpreted as 3 rather than 1/2.",6.06,6.07,1. Differentiate to find $a'(t)$: $ a'(t) = \frac{d}{dt}\bigl(14t^{3/2}\bigr)= 14 \cdot \frac{3}{2}t^{\frac{3}{2}-1}= 21t^{\tfrac{1}{2}}.$2. Differentiate$a'(t)$to find$a''(t)$:$a''(t) = \frac{d}{dt}\bigl(21t^{\tfrac{1}{2}}\bigr)= 21 \cdot \frac{1}{2}t^{\tfrac{1}{2}-1}= 10.5t^{-\tfrac{1}{2}}.$3. Evaluate at$t = 3$:$a''(3) = 10.5 \cdot 3^{-\tfrac{1}{2}} = 10.5 \cdot \frac{1}{\sqrt{3}} = \frac{10.5}{\sqrt{3}}= \frac{10.5\sqrt{3}}{3} = 3.5\sqrt{3}$,,No units,
Calculus,3,Differentiate the equation 3,Differentiate the equation: $a(t) = 14t^{3/2}$ and find $a''(t)$ when $t=3$,What is the second derivative of $a(t) = 14t^{3/2}$?,$a''(t)=21t$,$a''(t)=28t$,$a''(t)=(21/2)t^{-1/2}$,$a''(t)=(14/3)t^{-1/3}$,3,"Incorrect, that's the first derivative multiplied by t.","$Incorrect, derivative of 21t^{1/2} is (21/2)t^{-1/2}, not 28t.$","Correct, $a''(t)=\frac{21}{2}t^{-1/2}$.","Incorrect, exponent and coefficient are wrong.",6.06,6.07,1. Differentiate to find $a'(t)$: $ a'(t) = \frac{d}{dt}\bigl(14t^{3/2}\bigr)= 14 \cdot \frac{3}{2}t^{\frac{3}{2}-1}= 21t^{\tfrac{1}{2}}.$2. Differentiate$a'(t)$to find$a''(t)$:$a''(t) = \frac{d}{dt}\bigl(21t^{\tfrac{1}{2}}\bigr)= 21 \cdot \frac{1}{2}t^{\tfrac{1}{2}-1}= 10.5t^{-\tfrac{1}{2}}.$3. Evaluate at$t = 3$:$a''(3) = 10.5 \cdot 3^{-\tfrac{1}{2}} = 10.5 \cdot \frac{1}{\sqrt{3}} = \frac{10.5}{\sqrt{3}}= \frac{10.5\sqrt{3}}{3} = 3.5\sqrt{3}$,,No units,
Calculus,3,Differentiate the equation 3,Differentiate the equation: $a(t) = 14t^{3/2}$ and find $a''(t)$ when $t=3$,What is the value of $a''(t)$ when $t=3$?,,,,,,,,,,6.06,6.07,1. Differentiate to find $a'(t)$: $ a'(t) = \frac{d}{dt}\bigl(14t^{3/2}\bigr)= 14 \cdot \frac{3}{2}t^{\frac{3}{2}-1}= 21t^{\tfrac{1}{2}}.$2. Differentiate$a'(t)$to find$a''(t)$:$a''(t) = \frac{d}{dt}\bigl(21t^{\tfrac{1}{2}}\bigr)= 21 \cdot \frac{1}{2}t^{\tfrac{1}{2}-1}= 10.5t^{-\tfrac{1}{2}}.$3. Evaluate at$t = 3$:$a''(3) = 10.5 \cdot 3^{-\tfrac{1}{2}} = 10.5 \cdot \frac{1}{\sqrt{3}} = \frac{10.5}{\sqrt{3}}= \frac{10.5\sqrt{3}}{3} = 3.5\sqrt{3}$,,No units,
